Pick,count,null_count,mean,std,min,25%,50%,75%,max
350,1,0,22.0,,22.0,22.0,22.0,22.0,22.0
351,1,0,7.0,,7.0,7.0,7.0,7.0,7.0
352,3,0,4.333333333333333,5.8594652770823155,0.0,1.0,2.0,6.5,11.0
353,3,0,11.333333333333334,9.60902353693305,1.0,7.0,13.0,16.5,20.0
354,1,0,3.0,,3.0,3.0,3.0,3.0,3.0
355,2,0,16.5,16.263455967290593,5.0,10.75,16.5,22.25,28.0
356,3,0,10.333333333333334,4.041451884327381,6.0,8.5,11.0,12.5,14.0
357,3,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
358,2,0,9.5,13.435028842544403,0.0,4.75,9.5,14.25,19.0
360,1,0,3.0,,3.0,3.0,3.0,3.0,3.0
361,2,0,4.0,5.656854249492381,0.0,2.0,4.0,6.0,8.0
364,2,0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
365,1,0,30.0,,30.0,30.0,30.0,30.0,30.0
366,1,0,5.0,,5.0,5.0,5.0,5.0,5.0
367,2,0,7.5,6.363961030678928,3.0,5.25,7.5,9.75,12.0
368,1,0,0.0,,0.0,0.0,0.0,0.0,0.0
369,1,0,13.0,,13.0,13.0,13.0,13.0,13.0
370,2,0,8.5,10.606601717798213,1.0,4.75,8.5,12.25,16.0
372,1,0,1.0,,1.0,1.0,1.0,1.0,1.0
373,2,0,12.0,15.556349186104045,1.0,6.5,12.0,17.5,23.0
374,2,0,13.0,16.97056274847714,1.0,7.0,13.0,19.0,25.0
377,2,0,2.0,2.8284271247461903,0.0,1.0,2.0,3.0,4.0
378,2,0,17.0,16.97056274847714,5.0,11.0,17.0,23.0,29.0
379,1,0,6.0,,6.0,6.0,6.0,6.0,6.0
380,2,0,3.0,4.242640687119285,0.0,1.5,3.0,4.5,6.0
381,1,0,2.0,,2.0,2.0,2.0,2.0,2.0
382,1,0,0.0,,0.0,0.0,0.0,0.0,0.0
384,3,0,5.333333333333333,7.505553499465135,1.0,1.0,1.0,7.5,14.0
387,1,0,0.0,,0.0,0.0,0.0,0.0,0.0
388,2,0,14.5,12.020815280171307,6.0,10.25,14.5,18.75,23.0
389,2,0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0
390,2,0,10.5,7.7781745930520225,5.0,7.75,10.5,13.25,16.0
392,2,0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
393,1,0,7.0,,7.0,7.0,7.0,7.0,7.0
394,1,0,5.0,,5.0,5.0,5.0,5.0,5.0
395,1,0,2.0,,2.0,2.0,2.0,2.0,2.0
396,3,0,2.3333333333333335,1.5275252316519468,1.0,1.5,2.0,3.0,4.0
397,2,0,3.5,3.5355339059327378,1.0,2.25,3.5,4.75,6.0
398,3,0,5.0,3.0,2.0,3.5,5.0,6.5,8.0
400,1,0,2.0,,2.0,2.0,2.0,2.0,2.0
402,2,0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
403,1,0,0.0,,0.0,0.0,0.0,0.0,0.0
404,1,0,10.0,,10.0,10.0,10.0,10.0,10.0
405,1,0,2.0,,2.0,2.0,2.0,2.0,2.0
407,1,0,3.0,,3.0,3.0,3.0,3.0,3.0
408,3,0,1.6666666666666667,2.0816659994661326,0.0,0.5,1.0,2.5,4.0
411,1,0,14.0,,14.0,14.0,14.0,14.0,14.0
413,1,0,3.0,,3.0,3.0,3.0,3.0,3.0
414,1,0,1.0,,1.0,1.0,1.0,1.0,1.0
415,1,0,13.0,,13.0,13.0,13.0,13.0,13.0
416,1,0,1.0,,1.0,1.0,1.0,1.0,1.0
417,1,0,7.0,,7.0,7.0,7.0,7.0,7.0
418,4,0,9.25,11.324751652906125,1.0,4.0,5.0,10.25,26.0
419,2,0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
420,2,0,19.5,14.849242404917497,9.0,14.25,19.5,24.75,30.0
421,2,0,5.5,7.7781745930520225,0.0,2.75,5.5,8.25,11.0
422,3,0,9.333333333333334,7.234178138070234,1.0,7.0,13.0,13.5,14.0
423,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,1,0,18.0,,18.0,18.0,18.0,18.0,18.0
428,2,0,1.5,2.1213203435596424,0.0,0.75,1.5,2.25,3.0
430,1,0,7.0,,7.0,7.0,7.0,7.0,7.0
432,2,0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0
434,1,0,1.0,,1.0,1.0,1.0,1.0,1.0
435,1,0,0.0,,0.0,0.0,0.0,0.0,0.0
436,1,0,9.0,,9.0,9.0,9.0,9.0,9.0
438,2,0,14.0,16.97056274847714,2.0,8.0,14.0,20.0,26.0
439,2,0,7.5,10.606601717798213,0.0,3.75,7.5,11.25,15.0
441,1,0,17.0,,17.0,17.0,17.0,17.0,17.0
442,1,0,6.0,,6.0,6.0,6.0,6.0,6.0
446,1,0,6.0,,6.0,6.0,6.0,6.0,6.0
463,1,0,1.0,,1.0,1.0,1.0,1.0,1.0
472,1,0,1.0,,1.0,1.0,1.0,1.0,1.0
