Pick,count,null_count,mean,std,min,25%,50%,75%,max
90,51,0,8.254901960784315,8.622860632655271,0.0,1.5,6.0,13.0,41.0
91,53,0,11.50943396226415,10.478224015528282,0.0,4.0,9.0,17.0,55.0
92,50,0,10.2,8.88474960312355,0.0,4.0,7.0,16.0,38.0
93,51,0,10.470588235294118,9.986697033907598,0.0,3.5,7.0,17.0,41.0
94,48,0,9.125,6.972972137154422,0.0,3.0,7.5,15.25,24.0
95,49,0,8.89795918367347,8.349762716087564,0.0,2.0,6.0,14.0,35.0
96,52,0,9.903846153846153,7.794567276936596,0.0,3.75,8.0,15.25,29.0
97,51,0,8.0,7.720103626247513,0.0,1.5,5.0,13.0,25.0
98,51,0,11.882352941176471,9.559596348849732,0.0,3.5,10.0,18.5,33.0
99,51,0,8.07843137254902,8.221540335618144,0.0,1.0,5.0,11.0,31.0
100,51,0,10.117647058823529,8.286487938381446,0.0,2.5,9.0,15.0,32.0
101,51,0,7.823529411764706,8.337159905754335,0.0,2.0,4.0,12.0,35.0
102,51,0,9.862745098039216,8.369037239355881,0.0,2.5,7.0,16.5,28.0
103,49,0,8.408163265306122,9.153593027119046,0.0,2.0,5.0,13.0,40.0
104,48,0,8.5625,9.651162976994566,0.0,2.0,5.5,12.0,42.0
105,50,0,9.94,8.372476774941736,0.0,3.25,7.5,16.25,34.0
106,53,0,8.528301886792454,8.303390812435293,0.0,1.0,6.0,13.0,36.0
107,51,0,6.921568627450981,6.289175263116466,0.0,2.0,6.0,10.0,25.0
108,49,0,8.816326530612244,9.664525918248128,0.0,2.0,6.0,12.0,46.0
109,47,0,10.914893617021276,8.941427245361268,0.0,4.5,11.0,15.0,41.0
110,53,0,6.886792452830188,6.646746969986059,0.0,2.0,6.0,10.0,29.0
111,48,0,9.0,8.20741750660094,0.0,3.75,7.0,12.25,35.0
112,48,0,10.125,10.676330949965513,0.0,3.0,5.5,17.25,50.0
113,48,0,9.479166666666666,8.074097231225963,0.0,3.0,7.0,14.0,36.0
114,46,0,11.0,8.806563209081938,0.0,3.25,9.0,17.0,37.0
115,48,0,7.604166666666667,6.3034593114241755,0.0,3.0,6.5,11.0,24.0
116,52,0,7.384615384615385,8.876392674279002,0.0,1.0,5.0,10.25,53.0
117,50,0,8.04,8.535543931354441,0.0,3.0,6.0,10.0,45.0
118,47,0,6.8936170212765955,7.710055665938989,0.0,1.5,4.0,10.5,34.0
119,50,0,8.98,9.13948598563577,0.0,2.0,5.0,14.0,35.0
120,45,0,9.177777777777777,8.410731480697981,0.0,3.0,7.0,14.0,39.0
121,49,0,7.673469387755102,8.792486743194537,0.0,2.0,5.0,10.0,38.0
122,47,0,7.404255319148936,7.279093273884925,0.0,2.0,6.0,12.0,31.0
123,45,0,5.177777777777778,7.055909479709798,0.0,1.0,2.0,7.0,32.0
124,50,0,6.74,7.668674685274596,0.0,1.0,3.5,9.75,26.0
125,45,0,9.266666666666667,8.807021991776585,0.0,2.0,5.0,17.0,28.0
126,49,0,9.938775510204081,10.08589808277153,0.0,1.0,7.0,15.0,40.0
127,47,0,6.042553191489362,6.72101650829083,0.0,1.0,4.0,7.5,26.0
128,46,0,8.369565217391305,8.820074818660173,0.0,1.0,5.0,14.5,30.0
129,47,0,7.191489361702128,6.509652691838684,0.0,1.0,5.0,12.0,25.0
130,46,0,6.6521739130434785,6.536112984554345,0.0,1.0,5.5,11.0,23.0
131,44,0,7.636363636363637,10.399219355967576,0.0,1.0,2.5,8.25,39.0
132,44,0,7.704545454545454,7.4289801655551235,0.0,2.0,5.0,13.0,26.0
133,51,0,6.392156862745098,6.6575624108904865,0.0,1.0,5.0,11.0,30.0
134,42,0,7.928571428571429,7.762928970568428,0.0,2.0,4.5,14.0,28.0
135,46,0,6.782608695652174,10.374997817356153,0.0,1.0,4.0,8.0,57.0
136,47,0,7.74468085106383,8.039219313996751,0.0,1.0,4.0,12.0,25.0
137,48,0,8.208333333333334,7.240425323504708,0.0,2.0,6.0,13.25,31.0
138,45,0,6.688888888888889,6.7683159655929925,0.0,1.0,4.0,12.0,23.0
139,48,0,5.458333333333333,5.827149711382509,0.0,1.0,3.0,9.25,23.0
140,50,0,7.86,7.065322038676233,0.0,2.0,5.5,13.75,24.0
141,47,0,7.48936170212766,9.45440394374732,0.0,1.0,3.0,11.0,38.0
142,47,0,7.127659574468085,6.784307408426147,0.0,1.0,6.0,12.5,23.0
143,44,0,7.909090909090909,7.395215869667715,0.0,1.0,5.5,13.0,24.0
144,50,0,6.92,8.287782992982834,0.0,1.0,4.0,11.0,36.0
145,45,0,6.511111111111111,6.910539454742702,0.0,1.0,3.0,11.0,25.0
146,47,0,9.595744680851064,9.453914704382669,0.0,2.0,6.0,14.5,35.0
147,42,0,5.571428571428571,6.04109042468028,0.0,1.25,4.0,6.75,25.0
148,47,0,5.170212765957447,5.832141634142903,0.0,1.0,4.0,7.0,24.0
149,45,0,7.7555555555555555,7.660867371837791,0.0,2.0,5.0,12.0,30.0
150,42,0,6.023809523809524,6.7117955695709295,0.0,1.0,3.0,10.0,26.0
151,41,0,7.609756097560975,6.877056233522043,0.0,2.0,5.0,12.0,29.0
152,42,0,6.5,6.847645135551273,0.0,1.25,4.0,9.75,26.0
153,44,0,8.363636363636363,6.470293149934461,0.0,3.0,8.0,13.25,24.0
154,48,0,8.041666666666666,13.00893037507489,0.0,1.0,4.0,10.5,65.0
155,37,0,5.8108108108108105,5.481473027074616,0.0,2.0,4.0,7.0,22.0
156,42,0,5.142857142857143,6.3035856175379,0.0,1.0,2.5,6.0,25.0
157,46,0,5.108695652173913,4.931658548464942,0.0,1.0,4.0,8.75,19.0
158,48,0,4.5625,4.941815714207834,0.0,0.0,3.0,8.0,18.0
159,40,0,8.675,10.049588587063193,0.0,2.0,5.0,13.25,53.0
160,41,0,5.7560975609756095,6.818286030245717,0.0,1.0,4.0,10.0,29.0
161,46,0,6.326086956521739,8.186857619450787,0.0,1.0,3.0,8.5,29.0
162,41,0,5.560975609756097,6.364152655647901,0.0,1.0,4.0,8.0,28.0
163,41,0,7.536585365853658,10.144204160444549,0.0,1.0,4.0,8.0,46.0
164,44,0,7.431818181818182,11.373976268316188,0.0,0.0,3.0,9.75,52.0
165,42,0,6.571428571428571,8.425115927820372,0.0,1.25,4.0,9.0,50.0
166,44,0,7.886363636363637,8.14466842042369,0.0,1.0,5.0,14.0,24.0
167,44,0,6.931818181818182,6.95299074774779,0.0,1.0,4.0,12.25,24.0
168,41,0,7.853658536585366,8.705058803964956,0.0,1.0,4.0,16.0,26.0
169,43,0,6.604651162790698,7.429476476088246,0.0,1.0,4.0,11.0,31.0
170,41,0,3.682926829268293,4.027648348541888,0.0,0.0,2.0,5.0,13.0
171,42,0,5.690476190476191,7.350089082712505,0.0,0.25,2.5,7.0,28.0
172,38,0,4.447368421052632,5.588102073111796,0.0,0.25,2.0,6.0,20.0
173,42,0,8.595238095238095,8.293575308957088,0.0,2.0,5.5,12.0,30.0
174,41,0,6.7317073170731705,7.207719439059425,0.0,2.0,4.0,9.0,24.0
175,41,0,7.073170731707317,8.804516579297353,0.0,1.0,4.0,10.0,39.0
176,42,0,5.5476190476190474,6.779461022365618,0.0,1.0,2.5,7.75,25.0
177,42,0,4.833333333333333,7.274803380686126,0.0,0.25,3.0,6.0,41.0
178,37,0,5.5675675675675675,6.998176510668653,0.0,1.0,3.0,7.0,26.0
179,43,0,5.813953488372093,7.407383105657195,0.0,1.0,3.0,8.5,31.0
180,40,0,5.8,7.254353246543832,0.0,1.0,3.5,7.0,31.0
181,43,0,5.813953488372093,7.00427017357639,0.0,1.0,3.0,7.5,23.0
182,41,0,5.536585365853658,8.435335088114787,0.0,1.0,2.0,6.0,35.0
183,45,0,4.733333333333333,7.075566151456459,0.0,1.0,2.0,6.0,28.0
184,38,0,4.605263157894737,5.1859450059320835,0.0,1.0,3.0,6.5,19.0
185,42,0,3.642857142857143,4.247360319823495,0.0,1.0,2.0,4.0,15.0
186,41,0,4.7073170731707314,5.857661233116099,0.0,0.0,2.0,8.0,24.0
187,40,0,6.675,7.415809515435976,0.0,1.0,3.0,10.5,23.0
188,40,0,7.375,6.200444566360772,0.0,2.0,6.0,12.0,24.0
189,42,0,5.714285714285714,6.549197360189855,0.0,1.0,3.5,6.0,26.0
190,39,0,4.82051282051282,5.803228660667199,0.0,1.0,3.0,5.5,24.0
191,41,0,6.804878048780488,7.335596472663698,0.0,1.0,5.0,9.0,28.0
192,39,0,6.076923076923077,8.673567272510732,0.0,0.0,2.0,8.5,33.0
193,41,0,5.878048780487805,7.163082862675886,0.0,0.0,3.0,8.0,26.0
194,38,0,5.0,5.362532681183096,0.0,1.0,3.0,7.0,19.0
195,34,0,7.0588235294117645,8.014914795556823,0.0,1.0,4.0,9.75,32.0
196,40,0,4.7,11.359396878175245,0.0,0.0,1.0,4.0,70.0
197,40,0,5.725,7.3064337647702216,0.0,1.0,2.5,8.0,33.0
198,39,0,4.512820512820513,6.069213921491919,0.0,1.0,2.0,6.0,27.0
199,38,0,7.2894736842105265,9.392083770566721,0.0,1.0,3.0,7.0,36.0
200,37,0,7.45945945945946,7.452048915099325,0.0,1.0,5.0,12.0,27.0
201,40,0,6.2,7.633260552782583,0.0,1.0,3.0,8.0,29.0
202,41,0,5.560975609756097,7.642148848615175,0.0,0.0,2.0,7.0,30.0
203,32,0,7.34375,10.199966397794112,0.0,0.75,4.0,8.25,46.0
204,42,0,4.333333333333333,4.625837652116624,0.0,1.0,3.0,5.75,18.0
205,38,0,4.578947368421052,6.46667790958729,0.0,0.25,2.0,5.75,26.0
206,40,0,5.475,6.008487586483231,0.0,1.0,3.5,8.25,26.0
207,38,0,6.184210526315789,7.036027991731325,0.0,1.25,3.5,8.0,29.0
208,40,0,4.9,5.886969530786637,0.0,1.0,2.5,7.0,28.0
209,33,0,4.666666666666667,7.144345083117603,0.0,1.0,2.0,7.0,33.0
210,40,0,4.8,5.120096152943284,0.0,1.0,3.0,7.25,21.0
211,34,0,3.264705882352941,3.7116428081263244,0.0,0.0,2.0,5.75,15.0
212,41,0,5.585365853658536,6.819001428934068,0.0,0.0,4.0,9.0,34.0
213,33,0,4.696969696969697,5.581693562916459,0.0,1.0,2.0,7.0,18.0
214,39,0,6.333333333333333,8.224908680770719,0.0,0.0,3.0,8.0,28.0
215,42,0,5.666666666666667,7.807646866597895,0.0,1.0,3.0,7.0,33.0
216,37,0,5.918918918918919,6.1975729047676325,0.0,1.0,3.0,9.0,20.0
217,36,0,5.722222222222222,4.879175053874293,0.0,1.0,5.0,9.0,21.0
218,34,0,4.882352941176471,7.343373454335519,0.0,0.0,1.5,5.0,31.0
219,37,0,7.54054054054054,8.34863460092126,0.0,0.0,4.0,12.0,27.0
220,36,0,4.972222222222222,6.276878710729271,0.0,1.0,3.0,6.5,27.0
221,34,0,4.911764705882353,6.33588934255806,0.0,1.0,2.0,7.75,23.0
222,33,0,2.8181818181818183,3.431968690257692,0.0,1.0,1.0,3.0,14.0
223,38,0,4.552631578947368,7.6818401807965335,0.0,1.0,2.0,5.0,43.0
224,32,0,7.125,6.899041541659855,0.0,1.0,6.5,9.75,26.0
225,30,0,4.466666666666667,6.553405712816932,0.0,1.0,2.0,6.0,27.0
226,34,0,5.382352941176471,7.023832614672027,0.0,1.0,2.5,6.75,33.0
227,28,0,4.321428571428571,5.277861319305397,0.0,0.0,2.0,8.25,17.0
228,34,0,4.029411764705882,4.9877747155611125,0.0,1.0,2.0,5.75,17.0
229,33,0,4.96969696969697,6.10575982415809,0.0,1.0,2.0,8.0,21.0
230,39,0,4.6923076923076925,7.0976417364236895,0.0,0.5,2.0,4.0,32.0
231,33,0,3.1818181818181817,4.837707007551106,0.0,0.0,1.0,5.0,21.0
